"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
580,"Bayonne city, New Jersey","63,024",63015,63050,63945,64252,64736,65369,65290,65315,65333,64677,64897,40.6687141,-74.1143091
581,"Eden Prairie city, Minnesota","60,797",60797,60899,61667,62392,62673,63341,63608,64001,64193,64263,64893,44.8546856,-93.470786
582,"Port Orange city, Florida","56,048",56628,56627,56727,56978,57508,58983,60145,61454,63062,64055,64842,29.10162805,-81.0105961760805
583,"Dublin city, California","46,036",46036,45903,46804,48700,52027,54554,57545,59579,60797,63423,64826,53.348917,-6.35513021878953
584,"San Marcos city, Texas","44,894",45139,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776,29.8826436,-97.9405828
585,"Noblesville city, Indiana","51,969",52374,52909,54248,55542,56849,57725,58741,60304,61874,63303,64668,40.0455918,-86.0085955
586,"Santa Cruz city, California","59,946",59944,60578,61434,61954,62731,63172,64082,64396,64815,64643,64608,37.050096,-121.9905908
587,"Janesville city, Wisconsin","63,575",63658,63623,63439,63509,63675,63853,63880,64023,64297,64483,64575,42.6829765,-89.0226793
588,"San Clemente city, California","63,522",63500,63605,64255,64612,64845,64947,65142,65185,64973,64699,64558,33.4270275,-117.6124179
589,"Brentwood city, California","51,481",51627,51813,52716,53508,54916,56854,58796,60571,62265,63760,64474,37.9317766,-121.6960266
590,"East Orange city, New Jersey","64,270",64169,64150,64332,64172,64221,64262,64438,64426,64306,64258,64367,40.767323,-74.2048677
591,"Cheyenne city, Wyoming","59,466",59552,59778,60177,61438,62122,62279,62905,63451,63520,63835,64235,41.139981,-104.820246
592,"Eastvale city, California","(X)",53712,54054,54966,55627,56247,57386,59231,60670,62309,63815,64157,33.9747067,-117.5665411
593,"Chapel Hill, North Carolina","57,233",57221,57406,57370,58650,58860,59120,59046,59654,58918,63367,64051,35.9131542,-79.05578
594,"Haverhill city, Massachusetts","60,879",60878,60999,61505,61860,62272,62605,62861,63200,63664,63926,64014,42.7777829,-71.0767724
595,"Lorain city, Ohio","64,097",64099,64076,63940,63756,63735,63773,63662,63729,63774,63984,63855,41.4673238,-82.1781904
596,"Grand Junction city, Colorado","58,566",59034,58846,59475,59660,59809,59643,60389,61236,61995,63131,63597,39.063956,-108.5507317
597,"Springfield city, Oregon","59,403",59413,59445,59859,59974,60019,60164,60436,61531,62373,62806,63230,44.0462362,-123.0220289
598,"Coon Rapids city, Minnesota","61,476",61485,61539,61561,61958,62064,62163,62264,62374,62479,62491,62998,45.1728923,-93.3023898
599,"Idaho Falls city, Idaho","56,813",57833,57995,58518,58860,59034,59320,59858,60797,61768,62023,62888,43.4887907,-112.03628
